# 归档股票列表
# 生成时间: 2026-04-10
# 截止日期: 2026-03-11
# 总数: 318
--------------------------------------------------------------------------------
600077	2023-06-13	1032
000616	2023-06-13	1032
002118	2023-06-15	1030
600532	2023-06-19	1026
600781	2023-06-19	1026
600242	2023-06-20	1025
600767	2023-06-20	1025
688555	2023-06-30	1015
688086	2023-06-30	1015
300336	2023-07-04	1011
002781	2023-07-04	1011
000806	2023-07-05	1010
300273	2023-07-05	1010
000606	2023-07-05	1010
002417	2023-07-07	1008
300392	2023-07-07	1008
300526	2023-07-11	1004
002411	2023-07-11	1004
000038	2023-07-11	1004
300089	2023-07-12	1003
300356	2023-07-12	1003
002751	2023-07-12	1003
300297	2023-07-28	987
000666	2023-08-31	953
600290	2023-12-25	837
002776	2023-12-26	836
000046	2023-12-27	835
002002	2024-01-18	813
002740	2024-01-19	812
000005	2024-03-05	766
603555	2024-03-07	764
002089	2024-04-17	723
603603	2024-04-18	722
000416	2024-04-24	716
002699	2024-04-25	715
300495	2024-05-08	702
000961	2024-05-08	702
600823	2024-05-15	695
300116	2024-05-16	694
600321	2024-05-30	680
000971	2024-06-04	675
600220	2024-06-13	666
002621	2024-06-13	666
600836	2024-06-17	662
000836	2024-06-17	662
300262	2024-06-18	661
002610	2024-06-18	661
600306	2024-06-19	660
600565	2024-06-21	658
600277	2024-06-21	658
000982	2024-06-21	658
002288	2024-06-26	653
600647	2024-06-26	653
002280	2024-06-26	653
603133	2024-06-26	653
600766	2024-06-26	653
002087	2024-06-27	652
002665	2024-06-27	652
000996	2024-06-27	652
002325	2024-06-28	651
002435	2024-07-01	648
002505	2024-07-02	647
002341	2024-07-02	647
002433	2024-07-04	645
002502	2024-07-16	633
600297	2024-07-17	632
300282	2024-07-17	632
300742	2024-07-19	630
600112	2024-07-19	630
000023	2024-07-24	625
000976	2024-07-25	624
300799	2024-07-26	623
000861	2024-08-05	613
000413	2024-08-14	604
600213	2024-08-15	603
002308	2024-08-22	596
600898	2025-01-10	455
600837	2025-02-05	429
603963	2025-02-07	427
600225	2025-02-27	407
601028	2025-03-26	380
300117	2025-03-31	375
000040	2025-03-31	375
600705	2025-04-02	373
600070	2025-04-10	365
600811	2025-04-14	361
300108	2025-04-23	352
300630	2025-05-21	324
002750	2025-06-26	288
600804	2025-06-30	284
603003	2025-06-30	284
002336	2025-07-03	281
600387	2025-07-04	280
000584	2025-07-10	274
600462	2025-07-14	270
000622	2025-07-15	269
300208	2025-07-18	266
600190	2025-07-18	266
601989	2025-08-12	241
000627	2025-08-13	240
000851	2025-09-26	196
300280	2025-10-13	179
603388	2025-11-10	151
600200	2025-12-29	102
603056	2026-01-20	80
300379	2026-01-21	79
002231	2026-01-29	71
600735	2026-02-25	44
