code,name,score,grade,rank,close_price,volume,factor_rsi,factor_macd,factor_bollinger,factor_atr
000562,000562,31.119276431480067,S,1,30.5,2842868.0,97.6857490864799,3.29770091259266,1.3112071587915015,2.8099999999999987
601008,601008,29.022698764750672,S,2,6.8,2674714.0,94.8170731707317,0.5639682983514422,1.4219316201286534,0.6200000000000001
000524,000524,25.209271235639775,S,3,15.16,1013032.0,81.17206982543641,1.1227709701212714,1.1340949848623458,1.4700000000000006
600180,600180,24.182758659010428,S,4,5.745,2192657.0,78.99159663865548,0.2444827161261136,1.5096742628797437,0.5500000000000007
002094,002094,23.990932082830547,S,5,7.4,3179156.0,77.98165137614677,0.28690723044345123,1.2018225042674011,1.3500000000000005
600832,600832,23.419582240101562,S,6,23.18,1848765.0,74.31484178472131,2.192037842056777,0.6975917603406856,1.6400000000000006
600095,600095,23.34087639770656,S,7,8.38,1660383.0,76.69902912621357,0.48697742015760515,0.5053721689760489,0.41999999999999993
600068,600068,23.253091805627978,S,8,9.93,2251229.0,75.87939698492461,0.31602946341654636,1.1923193556281604,0.7800000000000011
600368,600368,23.236782528077875,S,9,5.609,2751598.0,75.93984962406016,0.2845068421615258,1.2273779410568657,0.6200000000000001
002688,002688,23.123955887057985,S,10,7.553,1485558.0,75.12520868113522,0.8264049536831726,0.842358983062323,0.8500000000000005
002570,002570,23.019933518384168,S,11,6.93,4716734.0,74.93734335839599,0.3573919910466463,1.5275645677568688,0.6299999999999999
600988,600988,22.783319945664125,S,12,25.54,1171769.0,72.33400402414486,1.064186760657254,1.479313551117466,2.34
002549,002549,22.714882750034974,S,13,10.45,1838221.0,73.32589285714285,1.1894415550378348,0.5514121319038437,1.25
000582,000582,22.52731014577828,S,14,10.352,2788984.0,73.00884955752213,0.3126252058048582,1.7043385839009213,0.9500000000000011
002084,002084,22.42949836565144,S,15,4.55,2520939.0,73.10126582278481,0.39304847833878,0.8860203765718206,1.0200000000000005
601028,601028,22.291912543099535,S,16,12.83,1447245.0,73.4939759036145,0.19675088292292564,0.7834725356915581,0.14000000000000057
601933,601933,22.212901094100427,S,17,6.03,8326325.0,72.97297297297297,0.19621055800943932,0.9107301740285267,0.39999999999999947
600598,600598,22.075084857843986,S,18,16.51,1990214.0,70.94682230869003,0.9447095669898111,0.6481264757001703,1.889999999999997
603169,603169,21.945756014341725,S,19,9.16,1415335.0,71.30801687763713,1.0180935875697346,0.5796143738983213,0.6599999999999984
600111,600111,21.875829601210675,S,20,24.685,1210434.0,71.20622568093381,0.39504331996713304,0.8572445047019603,1.1199999999999974
