code,latest_date,days_diff
600263,2012-02-20,5195
300391,2026-04-10,32
000918,2023-07-28,1019
603003,2025-07-02,314
000569,2009-04-23,6228
601558,2020-06-23,2149
600607,2010-02-03,5942
000748,2016-10-31,3480
600878,2004-04-16,8061
600297,2024-08-28,622
000556,2002-04-26,8782
002336,2025-07-03,313
000699,2006-04-28,7319
000689,2002-04-18,8790
002808,2026-04-30,12
300282,2024-07-18,663
000418,2019-05-07,2562
000606,2023-07-06,1041
000616,2023-08-23,993
000502,2022-06-24,1418
300186,2015-10-16,3861
600074,2020-05-26,2177
600631,2011-08-04,5395
600090,2022-06-30,1412
600462,2025-07-18,298
601989,2025-09-04,250
600472,2007-12-20,6718
600766,2024-07-03,678
000584,2025-07-10,306
000594,2015-07-10,3959
600813,2002-04-26,8782
603388,2025-12-04,159
002143,2019-11-28,2357
601299,2015-05-06,4024
600652,2022-06-15,1427
600209,2022-06-15,1427
600065,2006-02-21,7385
002781,2023-07-05,1042
000675,2002-04-23,8785
300330,2023-05-24,1084
000835,2022-05-20,1453
600705,2025-05-26,351
600091,2022-06-15,1427
600870,2022-06-23,1419
000638,2026-04-13,29
600385,2022-06-30,1412
002509,2020-07-17,2125
000732,2023-08-04,1012
300069,2026-04-30,12
000996,2024-06-28,683
600767,2023-06-20,1057
600122,2023-05-26,1082
603056,2026-03-30,43
603603,2024-04-25,747
600401,2019-07-08,2500
000585,2022-05-23,1450
000861,2024-09-18,601
600680,2018-04-27,2937
002731,2026-04-30,12
002447,2022-06-24,1418
002308,2024-09-27,592
002260,2022-06-16,1426
000578,2011-02-18,5562
002435,2024-08-15,635
600856,2022-06-15,1427
600723,2021-09-15,1700
600200,2025-12-30,133
000535,2005-04-29,7683
000653,2002-04-10,8798
300108,2025-05-28,349
600357,2009-12-15,5992
688086,2023-06-30,1047
002604,2020-07-14,2128
000621,2004-04-16,8061
600286,2006-04-28,7319
600296,2007-01-09,7063
