rank,code,score,close_price,volume,data_freshness_days,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
1,002384,2.6821470893955826,146.83,1086159.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.12738022113022116,37.82000000000001,1,82.14837712519322,10.0992944462065,1.3253555372844639,94.19670128283447,155.35396712954247,6.1299999999999955,4.590000000000003,1.3054183758213256,80.76299522985816,1.5490309919149852,1.0,1.0,0.10926656456988589,2.23705995891719
2,000402,1.601348224012356,3.06,1466659.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.14008941877794331,0.5699999999999998,0,81.05263157894736,-0.001900603150216007,1.5362299614275279,100.0,210.8933351541278,0.30000000000000027,0.28000000000000025,2.9888447579124984,7.541834263687072,4.719596575357012,1.0,1.0,0.05393537747444303,2.1189378778310766
3,600103,1.4959576769494003,4.0,4601433.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.07181136120042866,0.5099999999999998,1,74.46808510638297,0.014638286810038537,1.211968113197768,67.03296703296704,182.9619822696017,0.3899999999999997,0.3899999999999997,2.9176860063801335,65.1326897729658,4.5281338335691,1.0,1.0,0.04788551254255976,1.5732278392471049
4,600480,1.474475840990439,11.47,1059177.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.12165069430862505,2.16,0,80.55555555555557,-0.1381529785909965,1.4754660644977595,92.77108433734941,206.82346523479362,0.8600000000000012,0.8600000000000012,2.3882016847649625,63.2030601696726,3.9278384923180756,1.0,1.0,0.05016490499810513,1.8156512761230028
5,002328,1.471021230388791,10.76,2309409.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.15376367145614425,2.539999999999999,1,91.32075471698114,0.7133376406318517,1.3464115844531672,90.93198992443327,155.9236166346141,1.0099999999999998,1.0099999999999998,2.001485291471768,109.79675752150472,2.442124549135589,1.0,1.0,0.15655987419243111,3.2151852941188133
6,000988,1.3448633012901063,125.16,1117461.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.09670183309382778,20.959999999999994,0,60.53851640513552,3.416617177057276,1.1078860599040452,99.84208448480061,152.09576726202224,10.340000000000003,7.519999999999996,1.1835649988921233,89.77765670347443,1.4526293704221078,1.0,1.0,0.056474599740104776,1.2654733011835015
7,002436,1.3001391333844579,25.23,2042215.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.12363053353522756,4.960000000000001,0,76.75977653631284,-0.15614756059716584,1.279645709671872,100.0,181.26862239870295,2.6799999999999997,1.6700000000000017,1.9564883332953318,98.32927724533518,2.77403553325694,1.0,1.0,0.06729767178725783,0.9044164443863774
8,002515,1.1925402669195977,6.24,1019481.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.08145580589254761,0.6500000000000004,0,63.86138613861387,-0.04639384504059141,1.2468262151492853,100.0,169.05300232385946,0.6200000000000001,0.4900000000000002,2.678215652524794,46.31410673062779,3.6861430257380374,1.0,1.0,0.033871192812178895,0.8209555326085826
9,600166,1.1515971101418778,3.67,7257189.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.13201727328809376,0.6699999999999999,1,91.59663865546221,0.0788972745999823,1.6501650530801604,100.0,179.57732096308803,0.41999999999999993,0.2599999999999998,2.194242918527708,5.953234724206173,3.1273168776771323,1.0,1.0,0.06978243224464734,3.122583069875124
10,600105,1.1484544121219247,38.7,2175915.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.10647301006404403,8.490000000000002,1,88.67052023121387,2.334558673858993,1.18634046597362,92.84028324154212,133.68607859575647,2.9099999999999966,1.509999999999998,1.1891697598493718,98.28444975473107,1.1820849119980548,1.0,1.0,0.1338586218337413,2.609605655976705
11,600707,1.1171948589098675,6.89,1637688.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.08812381554011368,1.3199999999999994,0,76.41921397379912,0.010130326360568098,1.0703075124570807,86.14457831325298,148.62114609716414,0.33000000000000007,0.010000000000000675,2.3726438548117343,21.401048280748896,3.9038897587041386,0.9155844155844156,0.9155844155844156,0.07257810600174051,1.1321115620161226
12,301526,1.0348738189306776,14.83,3218202.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.1607701941139637,3.380000000000001,1,81.45604395604396,0.41147592447278036,1.6798508630455116,92.28915662650601,176.13638154081139,2.4800000000000004,1.3000000000000007,1.5590781339790942,65.93488512467101,1.8569956158496919,1.0,1.0,0.08171788531300728,2.829111799400486
13,002418,1.0108092940169056,6.26,1850578.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.16878267363704255,1.6099999999999994,1,89.00343642611683,0.19629500944522427,1.5191547564339367,100.0,182.55168331622508,0.5699999999999994,0.5699999999999994,1.4769597603890423,56.400052162302316,1.9891599918050706,1.0,1.0,0.10235782861514867,2.537039593236475
14,002074,0.9975385208069177,39.5,1369871.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.08183610867659946,5.700000000000003,0,60.477001703577514,-0.2087526681349985,0.8999898145685638,100.0,133.57848744710674,1.0,0.6899999999999977,2.140953992661306,71.46136669087979,2.7988194816179925,1.0,1.0,0.04271222456550686,0.4212718280959202
