combo_id,filter_combo,factor_combo,ic_mean,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,max_drawdown,total_score
27208,"min_volume,price_range","{'ma5_bias': 0.3, 'ma5_slope': 0.7}",-0.005175670105982355,-0.018557861076453325,0.49743589743589745,0.44120052550539124,0.8493841288728632,-0.3126235878055049,0.36450501705168376
15867,"min_volume,price_range","{'ma5_bias': 0.4, 'ma5_slope': 0.6}",-0.004628337899139126,-0.016486997835007768,0.49743589743589745,0.45918875384515423,0.9121764318452816,-0.2497630937302374,0.3966661291828811
7328,"min_volume,price_range","{'ma5_bias': 0.5, 'ma5_slope': 0.5}",0.0004521040615822244,0.0015926449197707275,0.517948717948718,0.5988716814990301,1.2029602918135462,-0.2653050848093794,0.43313511684737804
81247,"min_volume,price_range","{'ma5_bias': 0.6, 'ma5_slope': 0.4}",0.0019035315275189805,0.006624493585657841,0.5230769230769231,0.7340239948348749,1.478405047932319,-0.2608713906792424,0.46618296943534404
94085,"min_volume,price_range","{'ma5_bias': 0.7, 'ma5_slope': 0.30000000000000004}",0.0076396850448083,0.026509241681258504,0.517948717948718,0.5438326398556472,1.099294800896018,-0.2426065532442105,0.4502680223532051
83300,"min_volume,price_range","{'ma5_bias': 0.3, 'v_ratio10': 0.7}",-0.009646584082509832,-0.0368249978128151,0.4564102564102564,0.5221160108344364,1.2161450819952992,-0.23256839372304489,0.4735517085421003
69421,"min_volume,price_range","{'ma5_bias': 0.4, 'v_ratio10': 0.6}",-0.008502493983833051,-0.03236261381980317,0.4512820512820513,0.8056537750567135,1.833250108711141,-0.2879626305696545,0.5132275584037385
76107,"min_volume,price_range","{'ma5_bias': 0.5, 'v_ratio10': 0.5}",-0.004153168836221365,-0.015585542936048752,0.47692307692307695,0.8150096419124464,1.805484323045131,-0.27643932902755886,0.5008704236441658
81193,"min_volume,price_range","{'ma5_bias': 0.6, 'v_ratio10': 0.4}",-0.0021444749615306216,-0.007877192599448822,0.4717948717948718,1.2397166060897216,2.7292031078561436,-0.2628767989989031,0.5186761544132581
57941,"min_volume,price_range","{'ma5_bias': 0.7, 'v_ratio10': 0.30000000000000004}",0.006356789907102642,0.022761411751235694,0.5076923076923077,1.344610766027723,2.8525161130702923,-0.1316251123837778,0.5743340919397293
14705,"min_volume,price_range","{'ma5_bias': 0.3, 'cost_peak': 0.7}",0.0009891285349144944,0.003630855146032802,0.5025641025641026,0.29924414273921257,0.6665449207875397,-0.2830130654113407,0.25476797336866086
73235,"min_volume,price_range","{'ma5_bias': 0.4, 'cost_peak': 0.6}",0.004583888248282432,0.01675940060302204,0.5076923076923077,0.6581449753469741,1.4244229456849704,-0.2560407330631129,0.470502904029877
97889,"min_volume,price_range","{'ma5_bias': 0.5, 'cost_peak': 0.5}",0.007657737423364666,0.027686084018128863,0.5128205128205128,0.6433822923427674,1.4131221489668602,-0.21966150177618893,0.4902405815191261
58319,"min_volume,price_range","{'ma5_bias': 0.6, 'cost_peak': 0.4}",0.006326307678496286,0.022593971956342444,0.5128205128205128,0.8090565438673696,1.7287226011669743,-0.14722151689324403,0.5418735987173566
99569,"min_volume,price_range","{'ma5_bias': 0.7, 'cost_peak': 0.30000000000000004}",0.004543174837961804,0.015942555054801893,0.49743589743589745,0.6919119824224257,1.399664606726831,-0.21446264068136936,0.4812329578227348
71786,"min_volume,price_range","{'ma5_bias': 0.3, 'rsi': 0.7}",-0.002427475532335729,-0.00869836447792835,0.5025641025641026,0.6583700668210777,1.3864616281229052,-0.17470708974098373,0.4873691578143053
35142,"min_volume,price_range","{'ma5_bias': 0.4, 'rsi': 0.6}",-0.00335189891137111,-0.011880486334599974,0.5025641025641026,0.3565230603731575,0.7342189654507733,-0.3045055430363359,0.2968401218366518
50139,"min_volume,price_range","{'ma5_bias': 0.5, 'rsi': 0.5}",-0.006806761463885476,-0.024074605071162204,0.5076923076923077,0.681540868470828,1.3245206537706469,-0.2780231110822665,0.4590373790732389
41360,"min_volume,price_range","{'ma5_bias': 0.6, 'rsi': 0.4}",-0.0021763883975670782,-0.0077070449814994205,0.49743589743589745,0.66353248260573,1.2843507579841085,-0.29365650726067205,0.43671520936338637
19899,"min_volume,price_range","{'ma5_bias': 0.7, 'rsi': 0.30000000000000004}",0.00008900629118613534,0.0003091932972735329,0.48205128205128206,0.6730438843936942,1.2758026576132127,-0.19501505992742962,0.46282260042333023
42792,"min_volume,price_range","{'ma5_bias': 0.3, 'macd': 0.7}",-0.018539644597660356,-0.06861742006307908,0.4797979797979798,-0.215625724235896,-0.4605279842620998,-0.38401902351654554,0.05489393605046327
17832,"min_volume,price_range","{'ma5_bias': 0.4, 'macd': 0.6}",-0.010818256147290466,-0.040385030447598724,0.494949494949495,0.10093388642132754,0.2179505238458028,-0.23159568455909926,0.137464847075756
84256,"min_volume,price_range","{'ma5_bias': 0.5, 'macd': 0.5}",-0.007941438411158703,-0.029561492325422847,0.4696969696969697,0.4671515479563971,0.9763172214235534,-0.24188881146994257,0.4209422409532176
8305,"min_volume,price_range","{'ma5_bias': 0.6, 'macd': 0.4}",-0.007738861649255784,-0.028471672823753336,0.4393939393939394,0.6405638846942387,1.2947472453290017,-0.21550615451248398,0.48041667795440823
11812,"min_volume,price_range","{'ma5_bias': 0.7, 'macd': 0.30000000000000004}",-0.007302745368107649,-0.026414748970799012,0.47474747474747475,0.28884995698839416,0.585658540316593,-0.33336879596463453,0.253007627401335
98058,"min_volume,price_range","{'ma5_bias': 0.3, 'bollinger': 0.7}",-0.012651559602207079,-0.048415171328294086,0.4512820512820513,0.2123036388598046,0.4746444464286751,-0.3082334772196524,0.21357876502138554
47626,"min_volume,price_range","{'ma5_bias': 0.4, 'bollinger': 0.6}",-0.010554902419592005,-0.04012014183214901,0.49743589743589745,0.47600699969787935,1.0336539455115408,-0.24323071295356177,0.43998880351774694
43309,"min_volume,price_range","{'ma5_bias': 0.5, 'bollinger': 0.5}",-0.007310596341064743,-0.027271411742696847,0.5025641025641026,0.633884699314555,1.3416690059741732,-0.2741295369544479,0.46460751767342545
19050,"min_volume,price_range","{'ma5_bias': 0.6, 'bollinger': 0.4}",-0.006216470068828469,-0.022749944516334265,0.48717948717948717,0.7654076756771903,1.5274502625057138,-0.22609754194602835,0.49557913454829605
52572,"min_volume,price_range","{'ma5_bias': 0.7, 'bollinger': 0.30000000000000004}",-0.0009836160049392507,-0.0035306799408058314,0.5076923076923077,0.9841243617641346,1.9678435961783474,-0.23291993620810295,0.521968924834445
35286,"min_volume,price_range","{'ma5_bias': 0.3, 'atr': 0.7}",-0.002387857009460619,-0.008286375905403093,0.4717948717948718,0.6957740908769812,1.509280947223179,-0.25515373315127077,0.4725059510628835
12490,"min_volume,price_range","{'ma5_bias': 0.4, 'atr': 0.6}",-0.0014520377387051214,-0.005045533929533918,0.46153846153846156,0.9926796300583277,2.1365294990226644,-0.12663878981849,0.5618234972041304
92209,"min_volume,price_range","{'ma5_bias': 0.5, 'atr': 0.5}",-0.0028920997605487025,-0.009970778505231802,0.4666666666666667,0.6050200903813087,1.2762464986625839,-0.28394554908828257,0.44095275630768294
94938,"min_volume,price_range","{'ma5_bias': 0.6, 'atr': 0.4}",-0.0025079812963839597,-0.008632961162258063,0.4717948717948718,1.158428543199347,2.440096748085903,-0.24604472653543022,0.524891460084663
71469,"min_volume,price_range","{'ma5_bias': 0.7, 'atr': 0.30000000000000004}",-0.0005977232150750197,-0.00207617014304246,0.48717948717948717,1.03582752662646,2.216397019894003,-0.18503171615852063,0.5399836973949271
96286,"min_volume,price_range","{'ma5_bias': 0.3, 'kdj': 0.7}",-0.002471819226483709,-0.009028232669985743,0.49230769230769234,0.14843226238549978,0.31081895702340734,-0.20395084514405692,0.15938022422161022
71590,"min_volume,price_range","{'ma5_bias': 0.4, 'kdj': 0.6}",-0.0013943070816382509,-0.004986830542270951,0.517948717948718,0.3659021257657271,0.764946389841339,-0.21929573715522313,0.32692679982564593
50854,"min_volume,price_range","{'ma5_bias': 0.5, 'kdj': 0.5}",0.00012064720845512575,0.00042200240658444855,0.5076923076923077,0.18105254297005674,0.3978376522910562,-0.24901109653613948,0.1657491940910274
63566,"min_volume,price_range","{'ma5_bias': 0.6, 'kdj': 0.4}",0.0037252246855245218,0.01286502043448826,0.5025641025641026,0.4104630817425485,0.8478726755538296,-0.27929581594441516,0.3482585276336976
98573,"min_volume,price_range","{'ma5_bias': 0.7, 'kdj': 0.30000000000000004}",0.008794745792713868,0.030080168469607753,0.49743589743589745,0.7397582223291533,1.5186258817510596,-0.23295828065037122,0.49827396273400176
27079,"min_volume,price_range","{'ma5_bias': 0.3, 'cci': 0.7}",-0.021123093686080917,-0.07965832006645603,0.48205128205128206,0.36237204308641013,0.7850608507360074,-0.25875503532535793,0.37340428853682567
86809,"min_volume,price_range","{'ma5_bias': 0.4, 'cci': 0.6}",-0.017164093392445463,-0.06369991529887707,0.48717948717948717,0.3111207217462987,0.6693642497383042,-0.2757059280686297,0.3126668142378347
85229,"min_volume,price_range","{'ma5_bias': 0.5, 'cci': 0.5}",-0.013307157615826959,-0.048435304664806514,0.47692307692307695,0.45489851692671307,0.921372115188016,-0.2256435232949376,0.42861005764169546
96929,"min_volume,price_range","{'ma5_bias': 0.6, 'cci': 0.4}",-0.006451935522890889,-0.023324730102963938,0.49230769230769234,0.6809165082910575,1.3584606747053498,-0.27739650156040646,0.46204035103277064
31610,"min_volume,price_range","{'ma5_bias': 0.7, 'cci': 0.30000000000000004}",0.0013697074737384124,0.004883773674418702,0.49743589743589745,0.8230029284298757,1.662884753836721,-0.19130499775599588,0.506427161737875
8929,"min_volume,price_range","{'ma5_slope': 0.3, 'v_ratio10': 0.7}",-0.015014430971807413,-0.055711548620868134,0.46153846153846156,0.41313445504150187,0.9254870303300772,-0.18921481587429712,0.421927009663171
67899,"min_volume,price_range","{'ma5_slope': 0.4, 'v_ratio10': 0.6}",-0.016703352989629584,-0.06280260462335724,0.4512820512820513,0.2501482718448364,0.5444165362405083,-0.3093553947750389,0.25477270042963845
53279,"min_volume,price_range","{'ma5_slope': 0.5, 'v_ratio10': 0.5}",-0.018760875990127306,-0.07027286618906002,0.46153846153846156,0.24130068285473807,0.5279353921928814,-0.25733511136744514,0.26801387142756394
71727,"min_volume,price_range","{'ma5_slope': 0.6, 'v_ratio10': 0.4}",-0.019077099742203417,-0.07079719627586147,0.441025641025641,0.23082061842324786,0.4909626516131512,-0.28621213937433465,0.24882234677784146
47758,"min_volume,price_range","{'ma5_slope': 0.7, 'v_ratio10': 0.30000000000000004}",-0.017183016186611198,-0.06298106229177657,0.4512820512820513,0.13412259598863963,0.280830336303313,-0.32310617740731784,0.15894144105693633
53079,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'ma5_slope': 0.7}",-0.04108959505204523,-0.12189941078825747,0.41935483870967744,-1.796850746200777,-4.249815418391523,-0.053706720208838335,0.17961728856099318
98472,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'ma5_slope': 0.6}",-0.04470810537148234,-0.13197720645227934,0.45161290322580644,-1.2687686233164759,-2.900829963185645,-0.05228993771277625,0.1881517859242314
96197,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.5, 'ma5_slope': 0.5}",-0.049522184400517415,-0.14322672642250248,0.43548387096774194,-1.0909292589848385,-2.0496720606137226,-0.06021319436458551,0.1945103163498068
76341,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.6, 'ma5_slope': 0.4}",-0.05344367795982645,-0.1566449801379565,0.43548387096774194,-1.8944329087299445,-3.792393858468921,-0.05862499470002483,0.20577431921035694
37129,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.7, 'ma5_slope': 0.30000000000000004}",-0.05384428158601546,-0.15838963609427556,0.45161290322580644,-3.0773880377618124,-6.12544434849682,-0.07788945453699826,0.20074855736308772
46132,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'v_ratio10': 0.7}",0.00008509391887313374,0.00029813300103558184,0.5483870967741935,-4.865126881146785,-13.190414368924046,-0.06455036355000061,0.07872171855082827
