rank,code,score,close_price,volume,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
1,002384,2.6095439095140764,146.83,1086159.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.12738022113022116,37.82000000000001,1,82.14837712519322,10.0992944462065,1.3253555372844639,94.19670128283447,155.35396712954247,6.1299999999999955,4.590000000000003,1.3054183758213256,80.76299522985816,1.5490309919149852,1.0,1.0,0.10926656456988589,2.23705995891719
2,000562,1.5598904895313286,30.5,2842868.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.1886204208885423,9.43,1,97.6857490864799,3.29770091259266,1.3112071587915015,97.43954480796586,149.0116959081014,2.8099999999999987,2.8099999999999987,1.480940252668577,84.12926147269202,1.6845005070030894,1.0,1.0,0.2427432563413997,3.3709966150917356
3,000402,1.4986856571185443,3.06,1466659.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.14008941877794331,0.5699999999999998,0,81.05263157894736,-0.001900603150216007,1.5362299614275279,100.0,210.8933351541278,0.30000000000000027,0.28000000000000025,2.9888447579124984,7.541834263687072,4.719596575357012,1.0,1.0,0.05393537747444303,2.1189378778310766
4,600103,1.399539839063019,4.0,4601433.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.07181136120042866,0.5099999999999998,1,74.46808510638297,0.014638286810038537,1.211968113197768,67.03296703296704,182.9619822696017,0.3899999999999997,0.3899999999999997,2.9176860063801335,65.1326897729658,4.5281338335691,1.0,1.0,0.04788551254255976,1.5732278392471049
5,002328,1.3957303701676496,10.76,2309409.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.15376367145614425,2.539999999999999,1,91.32075471698114,0.7133376406318517,1.3464115844531672,90.93198992443327,155.9236166346141,1.0099999999999998,1.0099999999999998,2.001485291471768,109.79675752150472,2.442124549135589,1.0,1.0,0.15655987419243111,3.2151852941188133
6,600480,1.386994544759156,11.47,1059177.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.12165069430862505,2.16,0,80.55555555555557,-0.1381529785909965,1.4754660644977595,92.77108433734941,206.82346523479362,0.8600000000000012,0.8600000000000012,2.3882016847649625,63.2030601696726,3.9278384923180756,1.0,1.0,0.05016490499810513,1.8156512761230028
7,000988,1.297328838151348,125.16,1117461.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.09670183309382778,20.959999999999994,0,60.53851640513552,3.416617177057276,1.1078860599040452,99.84208448480061,152.09576726202224,10.340000000000003,7.519999999999996,1.1835649988921233,89.77765670347443,1.4526293704221078,1.0,1.0,0.056474599740104776,1.2654733011835015
8,000666,1.2594656594532454,8.97,1400320.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.07015032211882617,0.9800000000000004,0,39.52095808383234,-0.31772716405215284,-0.014930594082343011,89.18918918918925,45.34112288511839,0.23000000000000043,0.23000000000000043,3.7122674597085688,44.127644270855306,5.5698083548716335,0.4537037037037039,0.4537037037037039,0.08936166959276265,1.1571210413817103
9,002436,1.2300727463570371,25.23,2042215.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.12363053353522756,4.960000000000001,0,76.75977653631284,-0.15614756059716584,1.279645709671872,100.0,181.26862239870295,2.6799999999999997,1.6700000000000017,1.9564883332953318,98.32927724533518,2.77403553325694,1.0,1.0,0.06729767178725783,0.9044164443863774
10,002515,1.110681909318855,6.24,1019481.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.08145580589254761,0.6500000000000004,0,63.86138613861387,-0.04639384504059141,1.2468262151492853,100.0,169.05300232385946,0.6200000000000001,0.4900000000000002,2.678215652524794,46.31410673062779,3.6861430257380374,1.0,1.0,0.033871192812178895,0.8209555326085826
11,600105,1.09883620783489,38.7,2175915.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.10647301006404403,8.490000000000002,1,88.67052023121387,2.334558673858993,1.18634046597362,92.84028324154212,133.68607859575647,2.9099999999999966,1.509999999999998,1.1891697598493718,98.28444975473107,1.1820849119980548,1.0,1.0,0.1338586218337413,2.609605655976705
