rank,code,score,close_price,volume,data_freshness_days,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
1,002384,3.2133104798171366,143.55,1449445.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.16722500487868341,33.000000000000014,1,69.02422145328721,8.363647487167285,1.5937992524454214,96.54088050314468,179.66297318966312,13.189999999999998,13.189999999999998,1.9610176302106939,79.10816746119615,2.2090544339591873,1.0,1.0,0.08816091620673215,3.3018787345444514
2,002701,1.567592113591533,5.4,1306022.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.0509926041261192,0.4300000000000006,0,57.69230769230769,-0.07883948154983234,0.881867722438994,68.7500000000001,207.61022788677408,0.5099999999999998,0.4399999999999995,3.33294373085376,15.760167907839088,4.734790918635475,1.0,1.0,0.02700421205574616,0.14368516862550143
3,600105,1.3756180401583302,38.1,2331300.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.1396267049533381,7.120000000000001,1,77.41596638655463,1.8889230363057834,1.4023790814588504,100.0,141.48402184107653,4.1200000000000045,3.1799999999999997,1.347508072447879,96.27254752546862,1.3609423724705403,1.0,1.0,0.11485348123221688,3.169440173328308
4,002475,1.3663247124004663,58.18,3868969.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.10722034027328421,9.380000000000003,1,71.57712305025996,0.9798554082912574,1.544527628024847,91.05545617173524,175.95387328872374,4.280000000000001,3.3999999999999986,1.854853772684866,37.1606256922788,2.221442946985577,1.0,1.0,0.053160925077969365,3.3312787444147665
5,600166,1.2112708743004368,3.34,5378393.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.07464607464607471,0.33999999999999986,1,76.00000000000004,0.031150343555321314,1.3898652131330833,88.52459016393438,157.14442559795444,0.31000000000000005,0.27,2.5448322388231452,-0.599105041301995,3.1646859796473428,1.0,1.0,0.04707711520670199,1.8699350862333866
6,600864,1.1641372479204801,7.03,2521074.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.06289688539461753,0.6800000000000006,0,58.84476534296029,0.0380630352590039,1.0038842481652708,85.88235294117646,92.384610584704,0.6500000000000004,0.4800000000000004,2.776476522336709,30.179266977679873,3.3026981374036684,1.0,1.0,0.030248407339793573,2.8432994854867255
7,002074,1.159582834300575,38.81,1048988.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.09930886018581486,5.350000000000001,-1,54.7395388556789,-0.5183262622659157,0.7203527475670952,100.0,86.68325951869012,3.530000000000001,3.230000000000004,2.4570330506346667,68.0754006482581,2.6261748762066084,0.9944237918215612,0.9944237918215612,0.041078158818949634,0.053150306484086945
8,600030,1.0972313494619947,25.9,4259329.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.05584997961679565,1.9199999999999982,0,54.68749999999998,-0.48649597740352846,0.7778147119339364,78.02197802197797,215.11054876218378,2.3500000000000014,2.0199999999999996,2.5975107292263675,36.806067877588006,3.2666669785572413,0.9658536585365852,0.9658536585365852,0.02963776413817865,0.2044191095752769
9,000967,1.059242652662729,10.24,2212262.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.08222363136757561,1.2300000000000004,1,73.56020942408375,0.372429874906544,1.5073613845756562,89.23076923076927,162.80212146575596,0.9499999999999993,0.7099999999999991,1.955588643795472,50.0062119843575,2.097455865492016,1.0,1.0,0.04698498084642711,2.9423504397856175
10,002580,1.0237886282430417,18.98,1879909.0,0,"data_freshness,valid_stock,delisting,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,limit_up_filter,turnover_rate,float_cap,sideways",0.1382991483747152,3.610000000000001,0,69.6825396825397,1.0448192410737196,1.0033330701948329,91.39072847682118,110.57754637695358,2.1400000000000006,1.7300000000000004,1.5289225145226204,71.78316392959924,1.50334666765082,1.0,1.0,0.11459391151243786,3.0932686453237905
