combo_id,filter_combo,factor_combo,ic_mean,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,max_drawdown,win_rate,total_score
81775,"min_volume,price_range","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.0032691644216830294,-0.011825455031973037,0.48205128205128206,0.8540661938367907,1.8504320426459362,-0.13166848807299908,0.5,0.550614072265839
88201,"min_volume,price_range","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.004186743056455548,-0.015135151641085292,0.48205128205128206,0.9635270000667286,1.9287092465228504,-0.18146512989866503,0.5,0.544490669332265
34968,"min_volume,price_range","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",-0.02140154548261556,-0.08166181589058676,0.5,-0.307526335705148,-0.6293811824277111,-0.4139420472506648,0.5,0.06532945271246941
8420,"min_volume,price_range","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",-0.013363400104271042,-0.04944834695982097,0.48205128205128206,0.7599448261032464,1.6161843570237635,-0.14763963751524867,0.5,0.5519639007651502
5356,"min_volume,price_range","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.03206555040632637,-0.1218363662576107,0.4292929292929293,0.3396471221597941,0.7269218461235817,-0.24174744526575442,0.5,0.3933670691590717
32259,"min_volume,price_range","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",-0.007511232120295628,-0.02866532211899167,0.49230769230769234,0.8048030824675882,1.7997670793712672,-0.28689053285792415,0.5,0.507278788013012
38844,"min_volume,price_range","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.02677227569515828,-0.1119885329476064,0.441025641025641,-0.24267380848432277,-0.6240012284147244,-0.2885267213253008,0.5,0.09341525258298486
13552,"min_volume,price_range","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",-0.0006283069769317161,-0.00232408045701006,0.494949494949495,0.4493566783735397,1.1078013784703058,-0.20524571334913852,0.5,0.41383817145371626
80833,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.02115260448451271,-0.06685220896045989,0.45161290322580644,2.8865132489670744,6.105035374982742,-0.007553574292947805,0.5,0.6509639090707185
8904,"min_volume,price_range,exclude_kcb","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.03874932780608982,-0.12262445729923097,0.46774193548387094,2.936798970420239,4.634633239090976,-0.03928331403416127,0.5,0.6850051278279977
