rank,code,score,close_price,volume,filters_passed,ma5_bias,ma5_slope,ma_trend,rsi,macd,bollinger,kdj,cci,atr,dmi,v_ratio10,obv,vma,cost_peak,profit_ratio,volatility,trend_strength
1,002384,3.0582411834818206,143.55,1449445.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.16722500487868341,33.000000000000014,1,69.02422145328721,8.363647487167285,1.5937992524454214,96.54088050314468,179.66297318966312,13.189999999999998,13.189999999999998,1.9610176302106939,79.10816746119615,2.2090544339591873,1.0,1.0,0.08816091620673215,3.3018787345444514
2,000562,1.8244406198531185,30.5,2842868.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.1886204208885423,9.43,1,97.6857490864799,3.29770091259266,1.3112071587915015,97.43954480796586,149.0116959081014,2.8099999999999987,2.8099999999999987,1.480940252668577,84.12926147269202,1.6845005070030894,1.0,1.0,0.2427432563413997,3.3709966150917356
3,000666,1.4691767820001762,8.97,1400320.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.07015032211882617,0.9800000000000004,0,39.52095808383234,-0.31772716405215284,-0.014930594082343011,89.18918918918925,45.34112288511839,0.23000000000000043,0.23000000000000043,3.7122674597085688,44.127644270855306,5.5698083548716335,0.4537037037037039,0.4537037037037039,0.08936166959276265,1.1571210413817103
4,000889,1.431762858356281,4.35,1790469.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.18528610354223413,1.1499999999999995,1,72.46963562753035,0.07079259779094516,1.660153741618658,100.0,193.5775934770748,0.39999999999999947,0.39999999999999947,2.4828127587030298,15.456985717297808,3.3490165916203365,1.0,1.0,0.07983794320956904,3.2419897532432373
5,002701,1.3920598216446125,5.4,1306022.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.0509926041261192,0.4300000000000006,0,57.69230769230769,-0.07883948154983234,0.881867722438994,68.7500000000001,207.61022788677408,0.5099999999999998,0.4399999999999995,3.33294373085376,15.760167907839088,4.734790918635475,1.0,1.0,0.02700421205574616,0.14368516862550143
6,600105,1.2868653866769353,38.1,2331300.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.1396267049533381,7.120000000000001,1,77.41596638655463,1.8889230363057834,1.4023790814588504,100.0,141.48402184107653,4.1200000000000045,3.1799999999999997,1.347508072447879,96.27254752546862,1.3609423724705403,1.0,1.0,0.11485348123221688,3.169440173328308
7,002475,1.2585031536497053,58.18,3868969.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.10722034027328421,9.380000000000003,1,71.57712305025996,0.9798554082912574,1.544527628024847,91.05545617173524,175.95387328872374,4.280000000000001,3.3999999999999986,1.854853772684866,37.1606256922788,2.221442946985577,1.0,1.0,0.053160925077969365,3.3312787444147665
8,600166,1.0769183639576043,3.34,5378393.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.07464607464607471,0.33999999999999986,1,76.00000000000004,0.031150343555321314,1.3898652131330833,88.52459016393438,157.14442559795444,0.31000000000000005,0.27,2.5448322388231452,-0.599105041301995,3.1646859796473428,1.0,1.0,0.04707711520670199,1.8699350862333866
9,002074,1.047317219873842,38.81,1048988.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.09930886018581486,5.350000000000001,-1,54.7395388556789,-0.5183262622659157,0.7203527475670952,100.0,86.68325951869012,3.530000000000001,3.230000000000004,2.4570330506346667,68.0754006482581,2.6261748762066084,0.9944237918215612,0.9944237918215612,0.041078158818949634,0.053150306484086945
10,000024,1.0428412657752406,40.5,1041617.0,"data_freshness,delisting,st_filter,suspension,min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb,turnover_rate,float_cap,sideways",0.062490162128128385,4.560000000000002,1,62.91079812206573,1.7557789711391223,1.2271193259165576,92.6756352765321,169.3841020266722,1.6900000000000048,1.3599999999999994,1.467351400694783,95.86905987729128,1.8462608775799771,1.0,1.0,0.049023942610858955,3.9103055195317835
