weights,ic_mean,ic_ir,long_short_return,sharpe_ratio,max_drawdown,win_rate
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -1, 'cost_peak': -1}",0.03980701234303709,0.22663162854984517,-0.2579217020145112,-1.0227212728232038,-0.27012265213529096,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -1, 'cost_peak': -0.5}",0.03895017218371764,0.22384242150356712,-0.20620816545343768,-0.8223071617461473,-0.2887966682812152,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -1, 'cost_peak': 0}",0.035157579356798696,0.20543469810367268,-0.22308600479172092,-0.9072596498559932,-0.3135558008921328,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -1, 'cost_peak': 0.5}",0.030541327687331466,0.18405952004400072,-0.20105123883323153,-0.8407604710456283,-0.37866833353382207,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -1, 'cost_peak': 1}",0.023826852106148294,0.14541699977929598,-0.11144779758982236,-0.4873367763539256,-0.23461079575004182,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -0.5, 'cost_peak': -1}",0.03827050691487571,0.21015092372850705,-0.30617375244992995,-1.1738293212290158,-0.28150219388713155,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -0.5, 'cost_peak': -0.5}",0.037083854812417646,0.2034560338286341,-0.2821570955661866,-1.0863756768796258,-0.25852301790894777,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -0.5, 'cost_peak': 0}",0.03392872472043635,0.18739786170461825,-0.3077740192626012,-1.2009690495241232,-0.3067876804246253,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -0.5, 'cost_peak': 0.5}",0.028669490307588384,0.16450205276110724,-0.24144616757153317,-0.9774747644737546,-0.3097402676453637,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': -0.5, 'cost_peak': 1}",0.019150391921537818,0.11197942313786732,-0.13909112385315767,-0.5913496888393983,-0.24661792837340432,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0, 'cost_peak': -1}",0.03571745446436002,0.19188317976510988,-0.2955875752194537,-1.1293833226758379,-0.36710939079830307,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0, 'cost_peak': -0.5}",0.034389034795110705,0.1821423669143084,-0.2578620191123482,-0.9792219885730741,-0.3926678966497177,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0, 'cost_peak': 0}",0.032490186680090294,0.17096949346480841,-0.2567930958387485,-0.9934292502180462,-0.3077309104345864,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0, 'cost_peak': 0.5}",0.025067074091708972,0.13870469507096397,-0.2247322047599976,-0.8964187596559853,-0.31065232109385427,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0, 'cost_peak': 1}",0.010103948149187109,0.057652928145535326,-0.24181402737874658,-1.0411768270927966,-0.2792641548140096,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0.5, 'cost_peak': -1}",0.03153665499412004,0.170679541879472,-0.290462932997002,-1.1391777679111597,-0.3259870827142201,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0.5, 'cost_peak': -0.5}",0.029204015209477196,0.15713926899877717,-0.2152329347707995,-0.8483218663725749,-0.3139161624513665,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0.5, 'cost_peak': 0}",0.02428407671695734,0.13325403975861252,-0.27683350601567036,-1.1192239250503924,-0.30628437077577664,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0.5, 'cost_peak': 0.5}",0.00995196356090041,0.058810587449034266,-0.28518917993430526,-1.229365469989381,-0.2907323677521169,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 0.5, 'cost_peak': 1}",-0.005401785215899915,-0.032487955784181885,-0.26430854377450147,-1.2030490094792403,-0.22295067084593898,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 1, 'cost_peak': -1}",0.02370216936041363,0.13546741199533888,-0.23500808918457383,-0.9802639009545634,-0.28893211013559666,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 1, 'cost_peak': -0.5}",0.018534656356782912,0.108350897921044,-0.2581523990988674,-1.1044207845628546,-0.3060312264792254,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 1, 'cost_peak': 0}",0.00974995750033271,0.06024198195526295,-0.26999117717227256,-1.1790230328330797,-0.2936870549907131,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 1, 'cost_peak': 0.5}",-0.005135411367663075,-0.03390945602434593,-0.3332076340715162,-1.5712572063451895,-0.3358405492274754,0.5
"{'ma5_bias': -1, 'ma5_slope': -1, 'v_ratio10': 1, 'cost_peak': 1}",-0.01710077712704308,-0.11335138143535614,-0.28871805564813524,-1.4541583009539194,-0.26929216161354197,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -1, 'cost_peak': -1}",0.040493629461307724,0.2341619491004478,-0.2751578688969784,-1.0685133433706293,-0.37733715025590775,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -1, 'cost_peak': -0.5}",0.03956918109983018,0.23121794731232537,-0.24262171045190992,-0.942043064066504,-0.26970506470056643,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -1, 'cost_peak': 0}",0.0354598863970042,0.21176611484976335,-0.2141793939504064,-0.8657217259193888,-0.2151122931633621,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -1, 'cost_peak': 0.5}",0.03003628188155033,0.18587656300303732,-0.19976283772875808,-0.8366725589381847,-0.3303188953730583,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -1, 'cost_peak': 1}",0.021816921428585188,0.13626256902104458,-0.14004642171770892,-0.6015619166688537,-0.23215189411170414,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -0.5, 'cost_peak': -1}",0.03882208096222064,0.2143859855945052,-0.3401107075907705,-1.3118910480804649,-0.35831519704825804,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -0.5, 'cost_peak': -0.5}",0.037811424103367464,0.20848179173248563,-0.3027868166321415,-1.162927447005546,-0.3391575647030394,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -0.5, 'cost_peak': 0}",0.034552249919958165,0.19363427676303432,-0.28684178268529703,-1.112456339808211,-0.30773346576948307,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -0.5, 'cost_peak': 0.5}",0.028467058144169777,0.16626323294766096,-0.1534230553129435,-0.6338253260203378,-0.26959491858309903,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': -0.5, 'cost_peak': 1}",0.016175410517067175,0.09550763098437878,-0.11490297666382297,-0.49360068239505844,-0.3288988863124564,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0, 'cost_peak': -1}",0.03636698532792675,0.19546559504501304,-0.32051970179725836,-1.2113322991211772,-0.4330489664202565,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0, 'cost_peak': -0.5}",0.035244041913415396,0.18693981519380526,-0.31275460639559993,-1.1772284735794127,-0.284767825617143,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0, 'cost_peak': 0}",0.0333219587151912,0.17566856661430638,-0.287562970140737,-1.0969427460359742,-0.34263765426755577,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0, 'cost_peak': 0.5}",0.023513528157679403,0.13152161147241134,-0.27025212681777333,-1.0727672139190922,-0.3044657309952931,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0, 'cost_peak': 1}",0.006429660810972229,0.03687704939265722,-0.28770068446006974,-1.2241971939694343,-0.3392831213872238,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0.5, 'cost_peak': -1}",0.031494503291544663,0.17128006487220535,-0.21896853493364166,-0.8495319312922008,-0.24915188286767503,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0.5, 'cost_peak': -0.5}",0.028817724110694724,0.15640065614716336,-0.2667406659534292,-1.0432909451518084,-0.28978696962634626,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0.5, 'cost_peak': 0}",0.022579919059750535,0.12616032198140062,-0.286730243861405,-1.1717898014191082,-0.30908411543863773,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0.5, 'cost_peak': 0.5}",0.003249569093479236,0.019705331457839516,-0.2419126871561637,-1.0695022495062265,-0.26410208481137676,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 0.5, 'cost_peak': 1}",-0.01158130536314766,-0.07029041301227833,-0.22527276471370525,-1.0264238314937535,-0.27933327352510234,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 1, 'cost_peak': -1}",0.02227458609359581,0.12931216689948272,-0.2715515759279805,-1.1475876692150526,-0.35167033958675287,0.5
"{'ma5_bias': -1, 'ma5_slope': -0.5, 'v_ratio10': 1, 'cost_peak': -0.5}",0.016244195005435634,0.09706152624691601,-0.3016486530544532,-1.301818379025591,-0.2528467384033166,0.5
