factor_name,period,ic_mean,ic_std,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,p_value
factor_ma5_bias,5d,-0.027096346962837182,0.2685235924318652,-0.1009086267520891,0.47019867549668876,-0.8109864855610944,-0.8839992170332724,0.08101647578657711
factor_ma5_bias,10d,-0.01272342894170668,0.26198619452225275,-0.04856526491752209,0.5016835016835017,-1.5993758111064793,-1.3293663867936563,0.4040829304770397
factor_ma5_bias,20d,0.007645358629471198,0.2602284208242076,0.02937941445925261,0.5261324041811847,-0.6221378281049528,-0.39053240539270045,0.6196758368310461
factor_volume_ratio,1d,0.0,0.0,0.0,0.0,0.1949455679009595,0.6912023618486852,1.0
factor_volume_ratio,5d,0.0,0.0,0.0,0.0,1.2763473183306184,1.8087774999707416,1.0
factor_volume_ratio,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_volume_ratio,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_turnover,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_turnover,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_turnover,10d,0.0,0.0,0.0,0.0,3.0603803463490826,2.9862620785073455,1.0
factor_turnover,20d,0.0,0.0,0.0,0.0,6.968861890258346,4.67149664942942,1.0
factor_obv,1d,0.0,0.0,0.0,0.0,0.19494556790095943,0.691202361848685,1.0
factor_obv,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_obv,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_obv,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_vr,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vr,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vr,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_vr,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_mfi,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_mfi,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_mfi,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_mfi,20d,0.0,0.0,0.0,0.0,6.968861890258348,4.671496649429422,1.0
factor_vma,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vma,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vma,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.9862620785073455,1.0
factor_vma,20d,0.0,0.0,0.0,0.0,6.9688618902583475,4.671496649429421,1.0
factor_vosc,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_vosc,5d,0.0,0.0,0.0,0.0,1.276347318330618,1.8087774999707409,1.0
factor_vosc,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_vosc,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_wvad,1d,0.0,0.0,0.0,0.0,0.1949455679009594,0.6912023618486849,1.0
factor_wvad,5d,0.0,0.0,0.0,0.0,1.2763473183306184,1.8087774999707416,1.0
factor_wvad,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
factor_wvad,20d,0.0,0.0,0.0,0.0,6.968861890258347,4.671496649429421,1.0
factor_v_ratio10,1d,-0.017605904925546787,0.20835676552341367,-0.08449883967683477,0.47058823529411764,-0.05060609462608587,-0.17759319946892635,0.14105367998895693
factor_v_ratio10,5d,-0.011555362048019685,0.20825569913632974,-0.05548641451802592,0.4735099337748344,0.15853302474436656,0.2196772392359313,0.3364942417416946
factor_v_ratio10,10d,-0.015955576458827312,0.1961698056801956,-0.0813355368503488,0.48484848484848486,0.009925054453456551,0.010171996015437001,0.1627552667270899
factor_v_ratio10,20d,-0.00887232882082717,0.211361507910659,-0.0419770321877976,0.5017421602787456,-0.20756256425713374,-0.14966696348096792,0.4783470013970772
factor_v_total,1d,0.0,0.0,0.0,0.0,0.19494556790095938,0.6912023618486848,1.0
factor_v_total,5d,0.0,0.0,0.0,0.0,1.2763473183306178,1.8087774999707407,1.0
factor_v_total,10d,0.0,0.0,0.0,0.0,3.060380346349083,2.986262078507346,1.0
