code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
301330,熵基科技,39.15,3.27,7293873,83.8,S,75,100,92.5,55.7,3.74,9.76,1.11,0.53,"偏多趋势,强势上涨(3日+3.7%),放量上涨"
688005,容百科技,31.41,0.35,18962565,83.8,S,75,100,92.5,50.5,2.25,7.57,-2.51,0.44,"偏多趋势,强势上涨(3日+2.2%),放量上涨"
300199,翰宇药业,18.05,2.04,16783819,83.8,S,75,100,100.0,48.4,1.75,9.46,-3.63,0.34,"偏多趋势,强势上涨(3日+1.7%),量价齐升"
002183,怡 亚 通,5.39,4.46,126263815,83.8,S,75,100,85.0,58.6,2.47,10.0,2.28,0.52,"偏多趋势,强势上涨(3日+2.5%),量价齐升"
603273,天元智能,19.81,1.07,2906300,83.8,S,75,100,85.0,57.1,2.38,9.33,2.8,0.59,"偏多趋势,强势上涨(3日+2.4%),量价齐升"
000639,西王食品,3.14,10.18,111435313,83.8,S,75,100,85.0,64.9,11.35,14.6,6.08,0.44,"偏多趋势,强势上涨(3日+11.3%),量价齐升"
688707,振华新材,14.61,0.41,5659650,83.8,S,75,100,92.5,53.8,1.11,5.18,1.25,0.58,"偏多趋势,强势上涨(3日+1.1%),放量上涨"
603086,先达股份,8.38,-2.78,24165342,83.8,S,75,80,100.0,46.0,-5.52,2.95,1.09,0.44,"偏多趋势,趋势向上,量价齐升"
000536,华映科技,5.04,3.07,146557524,83.8,S,75,100,85.0,60.1,3.7,15.07,7.46,0.6,"偏多趋势,强势上涨(3日+3.7%),量价齐升"
000829,天音控股,10.93,0.55,24786323,83.8,S,75,100,92.5,55.0,3.6,3.5,4.0,0.45,"偏多趋势,强势上涨(3日+3.6%),放量上涨"
300573,兴齐眼药,70.21,-1.13,3971733,83.8,S,75,80,85.0,50.5,-2.17,1.95,0.69,0.21,"偏多趋势,趋势向上,量价齐升"
603159,上海亚虹,26.31,-0.79,1131130,83.8,S,75,80,100.0,48.9,-1.42,5.37,-1.57,0.59,"偏多趋势,趋势向上,量价齐升"
001229,魅视科技,39.17,1.53,2659888,83.8,S,75,100,85.0,58.0,1.77,10.93,2.51,0.48,"偏多趋势,强势上涨(3日+1.8%),量价齐升"
688166,博瑞医药,47.09,5.3,15602398,83.8,S,75,100,85.0,55.3,2.5,13.2,1.79,0.48,"偏多趋势,强势上涨(3日+2.5%),量价齐升"
300887,谱尼测试,12.27,8.87,60279230,83.8,S,75,100,85.0,52.7,9.16,15.75,1.91,0.55,"偏多趋势,强势上涨(3日+9.2%),量价齐升"
603020,爱普股份,10.82,-1.55,5618300,83.8,S,75,80,100.0,46.5,-4.16,5.05,-6.4,0.58,"偏多趋势,趋势向上,量价齐升"
603777,来伊份,13.77,6.74,24220316,83.8,S,75,100,85.0,58.7,3.38,13.52,1.62,0.59,"偏多趋势,强势上涨(3日+3.4%),量价齐升"
301238,瑞泰新材,20.98,0.48,7529328,83.8,S,75,100,92.5,51.9,1.89,5.53,1.16,0.5,"偏多趋势,强势上涨(3日+1.9%),放量上涨"
605305,中际联合,43.69,-1.0,12340132,83.8,S,75,100,85.0,62.5,2.61,16.85,10.38,0.53,"偏多趋势,强势上涨(3日+2.6%),量价齐升"
000938,紫光股份,25.39,-1.59,71034649,83.8,S,75,80,100.0,49.5,-4.26,6.41,0.95,0.43,"偏多趋势,趋势向上,量价齐升"
300085,银之杰,41.17,4.52,36904608,83.8,S,75,100,85.0,64.3,3.83,14.39,2.93,0.41,"偏多趋势,强势上涨(3日+3.8%),量价齐升"
