code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
002573,清新环境,4.08,-0.73,13217800,79.0,A,100,50,92.5,64.2,-1.21,1.24,4.35,0.82,"多头排列,量价齐升,MACD金叉"
601006,大秦铁路,5.33,-0.19,155478181,79.0,A,100,80,62.5,76.9,-1.48,2.5,4.72,0.76,"多头排列,趋势向上,缩量回调"
002349,精华制药,7.69,0.26,8912330,78.5,A,75,50,100.0,49.2,0.39,3.22,-0.65,0.59,"偏多趋势,MACD金叉,KDJ金叉"
002479,富春环保,5.48,-1.62,15653567,78.5,A,100,50,67.5,56.8,-3.35,1.11,3.4,0.79,"多头排列,量价齐升,波动适中"
600078,澄星股份,13.14,-3.81,74053416,78.5,A,100,100,75.0,55.7,1.86,7.79,13.86,0.68,"多头排列,强势上涨(3日+1.9%),量价齐升"
601012,隆基绿能,18.68,-1.01,201316284,78.5,A,75,80,92.5,57.0,-1.37,3.84,-2.61,0.69,"偏多趋势,趋势向上,MACD金叉"
688786,悦安新材,35.79,5.26,5789644,78.5,A,100,100,75.0,58.7,4.71,5.3,14.79,0.74,"多头排列,强势上涨(3日+4.7%),量价齐升"
000402,金 融 街,2.76,0.73,23986184,78.5,A,40,100,82.5,43.5,0.36,1.1,-6.12,0.25,"强势上涨(3日+0.4%),KDJ金叉,接近支撑位(+6.5%空间)"
300381,溢多利,7.2,0.14,12583100,78.5,A,75,100,85.0,61.5,2.56,9.42,3.75,0.99,"偏多趋势,强势上涨(3日+2.6%),放量上涨"
002774,快意电梯,11.37,3.36,13266900,78.5,A,40,100,75.0,48.8,4.22,6.96,-0.87,0.42,"强势上涨(3日+4.2%),量价齐升,KDJ金叉"
300498,温氏股份,17.55,0.69,49343023,78.5,A,100,100,67.5,84.4,0.06,9.01,10.52,1.0,"多头排列,强势上涨(3日+0.1%),缩量回调"
600519,贵州茅台,1460.18,3.29,6008635,78.5,A,40,100,82.5,48.4,4.9,2.38,-4.25,0.59,"强势上涨(3日+4.9%),放量上涨,KDJ金叉"
002807,江阴银行,4.68,0.21,38201786,78.5,A,75,80,92.5,62.2,0.0,2.18,-0.85,0.85,"偏多趋势,趋势向上,量价齐升"
600054,黄山旅游,13.82,2.67,32750077,78.5,A,75,100,77.5,73.4,6.31,11.09,2.6,0.83,"偏多趋势,强势上涨(3日+6.3%),量价齐升"
002330,得利斯,5.15,0.98,12066500,78.5,A,75,50,100.0,48.9,0.98,3.41,-3.92,0.5,"偏多趋势,MACD金叉,KDJ金叉"
300395,菲利华,118.65,4.17,45879881,78.5,A,100,100,75.0,59.7,5.2,5.53,25.84,0.68,"多头排列,强势上涨(3日+5.2%),量价齐升"
600467,好当家,2.77,4.14,166418003,78.5,A,75,100,85.0,60.4,4.14,7.78,1.84,0.88,"偏多趋势,强势上涨(3日+4.1%),放量上涨"
